beta,se_dk,lo_dk,hi_dk,t_crve,p_wc,n_obs,n_states,n_districts,spec,h
0.011107458489535045,0.015369519617252747,-0.014173151597404936,0.03638806857647503,0.25954777668538964,0.843,3575,51,12,cv_urate_own,0
-0.013189030464313729,0.03541351937567266,-0.07143908625250513,0.045061025323877665,-0.6351536357116407,0.638,3524,51,12,cv_urate_own,1
0.009060634042593003,0.02939294185393136,-0.03928645297261971,0.05740772105780572,0.7044493503446178,0.527,3473,51,12,cv_urate_own,2
0.01850948563061953,0.02724305851604443,-0.026301357978747334,0.0633203292399864,1.816114742252951,0.305,3422,51,12,cv_urate_own,3
0.029267718019512626,0.026041096842553554,-0.013566074571756112,0.07210151061078136,2.8224403488396046,0.064,3371,51,12,cv_urate_own,4
0.050332972800202186,0.028016261510856014,0.004250323440449746,0.09641562215995463,2.254535313775679,0.144,3320,51,12,cv_urate_own,5
0.04100780418241704,0.026179881434810336,-0.002054268748790243,0.08406987711362432,1.8521004739706228,0.177,3269,51,12,cv_urate_own,6
0.03873836152811236,0.025186772785551308,-0.0026901930394043413,0.08016691609562906,2.140009773614914,0.214,3218,51,12,cv_urate_own,7
0.029427905123061412,0.020820618864511902,-0.004818965331605231,0.06367477557772805,3.2004997162391704,0.089,3167,51,12,cv_urate_own,8
0.06940293560147395,0.03203289153493587,0.016713517778491588,0.12209235342445632,4.409253975394846,0.036,3116,51,12,cv_urate_own,9
0.04991437202514792,0.020857295933047564,0.015607173161274447,0.08422157088902138,5.247300366562916,0.066,3065,51,12,cv_urate_own,10
0.0410572932434957,0.020050483433827263,0.008077182845234517,0.07403740364175687,3.3152435261332256,0.132,3014,51,12,cv_urate_own,11
0.04085131422030212,0.01988228059122889,0.008147872877752427,0.07355475556285182,5.4338710440672315,0.058,2963,51,12,cv_urate_own,12
0.013692481742529876,0.011347613729401494,-0.00497268185752049,0.03235764534258024,0.5786964408569365,0.556,3575,51,12,cv_urate_hr_own,0
-0.01124697018833743,0.021541280698384978,-0.0466792238742557,0.02418528349758084,-0.9071476590845524,0.375,3524,51,12,cv_urate_hr_own,1
0.02046628248761811,0.022382568562065344,-0.016349766592185063,0.05728233156742128,1.3770816217100998,0.238,3473,51,12,cv_urate_hr_own,2
0.027653141227125484,0.021651034551906586,-0.007959641482829703,0.06326592393708066,1.9008410715891308,0.232,3422,51,12,cv_urate_hr_own,3
0.042117532574156305,0.0225091740616632,0.005093235979147598,0.07914182916916501,3.3394887909017954,0.045,3371,51,12,cv_urate_hr_own,4
0.06644702549462139,0.03357932279062807,0.011213954611882584,0.1216800963773602,2.435083273152527,0.024,3320,51,12,cv_urate_hr_own,5
0.05331593216370136,0.02974599425222612,0.004388125630649588,0.10224373869675313,2.182829171445478,0.09,3269,51,12,cv_urate_hr_own,6
0.044522354162070316,0.025506530328798904,0.0025678452397977156,0.08647686308434291,2.197012026534884,0.098,3218,51,12,cv_urate_hr_own,7
0.02648463611307005,0.019179724117693555,-0.0050632026658468145,0.058032474891986915,2.7334928882512584,0.113,3167,51,12,cv_urate_hr_own,8
0.06652762930796761,0.03355090480473563,0.011341301852394646,0.12171395676354058,4.24025071343395,0.084,3116,51,12,cv_urate_hr_own,9
0.03246167650494091,0.021169103773507433,-0.0023584006162248802,0.0672817536261067,2.0507829665157757,0.188,3065,51,12,cv_urate_hr_own,10
0.016365791472812335,0.02700089491607113,-0.028046728460822824,0.060778311406447495,0.6146532879931298,0.664,3014,51,12,cv_urate_hr_own,11
0.013854905624491182,0.023031020721020732,-0.024027752340874273,0.051737563589856636,0.8843951016075262,0.437,2963,51,12,cv_urate_hr_own,12
-0.0056683394592619745,0.02703529809243503,-0.05013744758231795,0.038800768663794,-0.09276336184783567,0.918,3575,51,12,cv_urate_hr_loo,0
0.0011381430918016213,0.02863561973295573,-0.04596325988595375,0.04823954606955699,0.04454076099498404,0.951,3524,51,12,cv_urate_hr_loo,1
-0.017714622294155234,0.04002467710216443,-0.08354935759321194,0.04812011300490147,-0.6441029300996995,0.743,3473,51,12,cv_urate_hr_loo,2
-0.013348285556065943,0.03273410891645814,-0.06719110333232664,0.04049453222019475,-0.7855389758955954,0.462,3422,51,12,cv_urate_hr_loo,3
-0.014429565601723534,0.028743301305113773,-0.061708089003998906,0.03284895780055183,-0.9818741884478279,0.363,3371,51,12,cv_urate_hr_loo,4
-0.023161596359547475,0.02564992297439651,-0.06535196519500946,0.019028772475914515,-1.1115431930355633,0.417,3320,51,12,cv_urate_hr_loo,5
-0.016678698193816423,0.022865191818209958,-0.0542885918869402,0.02093119549930735,-1.1137965998955446,0.365,3269,51,12,cv_urate_hr_loo,6
-0.012634295373153689,0.01864927108342842,-0.04330961655473213,0.018041025808424753,-0.60194627202021,0.692,3218,51,12,cv_urate_hr_loo,7
0.007764178198436023,0.011004604326094201,-0.010336785140505884,0.025865141537377928,0.7329599553494804,0.388,3167,51,12,cv_urate_hr_loo,8
0.0010086877788773741,0.015949836105282948,-0.02522645798817882,0.027243833545933568,0.14414475557951764,0.892,3116,51,12,cv_urate_hr_loo,9
0.025505838295568326,0.02005391992343721,-0.007479924625091752,0.0584916012162284,1.6964258084813824,0.047,3065,51,12,cv_urate_hr_loo,10
0.03595225429114659,0.02922281387570813,-0.012114997102039733,0.08401950568433292,1.7140740209567078,0.005,3014,51,12,cv_urate_hr_loo,11
0.04151708769360087,0.030594282997107557,-0.00880602965817124,0.09184020504537299,2.0625598788325537,0.078,2963,51,12,cv_urate_hr_loo,12
0.002231814643152691,0.014783236392445921,-0.022084445355042975,0.02654807464134836,0.0605058508480386,0.932,3575,51,12,rt_urate_own,0
-0.0016984726338564369,0.029998024731038898,-0.051040832414085725,0.04764388714637285,-0.07404042737307526,0.938,3524,51,12,rt_urate_own,1
0.008484449662383368,0.022435811795252246,-0.028419176742637907,0.045388076067404644,0.5291253523607103,0.634,3473,51,12,rt_urate_own,2
-0.008785812146930796,0.02239265426851339,-0.04561845073756541,0.028046826443703814,-0.4893792004915099,0.683,3422,51,12,rt_urate_own,3
0.0030188237576984356,0.021157840144018766,-0.03178272634165029,0.03782037385704716,0.2962797530240371,0.77,3371,51,12,rt_urate_own,4
0.030708575101875135,0.020861822515206813,-0.0036060693270806715,0.06502321953083094,1.9123852917838682,0.235,3320,51,12,rt_urate_own,5
0.030639306012790357,0.01915667932555519,-0.000870627456195372,0.062149239481776086,1.844356814756966,0.167,3269,51,12,rt_urate_own,6
0.033541435399758165,0.019144080834310403,0.0020522246047905354,0.06503064619472579,1.720319784699653,0.303,3218,51,12,rt_urate_own,7
0.008829981075028078,0.015695456175061896,-0.01698674694118036,0.034646709091236516,0.7547664765251701,0.499,3167,51,12,rt_urate_own,8
0.05952434210813789,0.02898728387736931,0.011844503086975051,0.10720418112930072,2.762354603400468,0.177,3116,51,12,rt_urate_own,9
0.046832761368515906,0.020956628455065827,0.01236217504552646,0.08130334769150535,3.206949916056667,0.124,3065,51,12,rt_urate_own,10
0.04930283228917395,0.016960030431888682,0.021406064720074516,0.07719959985827339,5.512225749852092,0.059,3014,51,12,rt_urate_own,11
0.03965896230653364,0.01767524235965558,0.010585775804007862,0.06873214880905941,3.9722623848022702,0.102,2963,51,12,rt_urate_own,12
-0.00020146621868993603,0.0074466554554612555,-0.012450124453263349,0.012047192015883475,-0.011335883015275897,0.987,3575,51,12,rt_urate_hr_own,0
-0.003393665614754551,0.01997825091038767,-0.03625496408485226,0.029467632855343158,-0.1735489855122194,0.886,3524,51,12,rt_urate_hr_own,1
0.023913915451496695,0.024474698904682433,-0.01634338181041542,0.06417121271340881,1.6525702028197466,0.409,3473,51,12,rt_urate_hr_own,2
0.006130110143130508,0.01967015624248901,-0.026224417695029673,0.03848463798129069,0.3305442139434891,0.771,3422,51,12,rt_urate_hr_own,3
0.025470208814173213,0.017051673952874706,-0.0025772989328066917,0.05351771656115312,1.7891719580782681,0.161,3371,51,12,rt_urate_hr_own,4
0.06070666071869173,0.026687301182687067,0.016809956574802595,0.10460336486258086,2.5705924471403994,0.139,3320,51,12,rt_urate_hr_own,5
0.061082695701897546,0.025857513930600193,0.018550870129201605,0.10361452127459349,3.0168509205061858,0.021,3269,51,12,rt_urate_hr_own,6
0.05555970611872231,0.024751513897642508,0.014847088711645265,0.09627232352579936,2.625020224553709,0.101,3218,51,12,rt_urate_hr_own,7
0.019141049426471695,0.02028220919167046,-0.014220215925035942,0.05250231477797933,1.8673345352518993,0.226,3167,51,12,rt_urate_hr_own,8
0.06791156646299515,0.029895066040136087,0.01873855865892353,0.11708457426706677,2.8444248273320376,0.182,3116,51,12,rt_urate_hr_own,9
0.03493523357329379,0.0185280354096081,0.004459327329514606,0.06541113981707297,1.7056665294750302,0.357,3065,51,12,rt_urate_hr_own,10
0.029301307857049888,0.019022329782700152,-0.001987640279091464,0.06059025599319124,1.7570190093708864,0.335,3014,51,12,rt_urate_hr_own,11
0.014094793452948992,0.02740594547082306,-0.03098397535476858,0.059173562260666564,0.8810234945481019,0.601,2963,51,12,rt_urate_hr_own,12
0.0003799684879807014,0.02498848788725803,-0.0407224364454086,0.04148237342137,0.006365399638812775,0.992,3575,51,12,rt_urate_hr_loo,0
0.012231085607914536,0.02679542706285937,-0.03184346978214333,0.056305640997972396,0.5543644735784098,0.59,3524,51,12,rt_urate_hr_loo,1
-0.020943009961518592,0.0393428928207818,-0.08565630991254455,0.043770289989507376,-0.8256517707244438,0.718,3473,51,12,rt_urate_hr_loo,2
-0.02084526572849526,0.026978083765586497,-0.06522026465852084,0.023529733201530317,-1.1230793122903753,0.296,3422,51,12,rt_urate_hr_loo,3
-0.029240749634603366,0.027617867856909867,-0.07466809974770804,0.016186600478501303,-1.2316598268373644,0.375,3371,51,12,rt_urate_hr_loo,4
-0.04342133869155281,0.02997301379204835,-0.09272255913807004,0.005879881754964407,-1.437588645898066,0.248,3320,51,12,rt_urate_hr_loo,5
-0.04498070064956934,0.02476110061920209,-0.08570908681037423,-0.004252314488764446,-2.021130397748747,0.073,3269,51,12,rt_urate_hr_loo,6
-0.03804538271691632,0.021201441539999907,-0.07291865073058476,-0.0031721147032478733,-1.9290842852795607,0.157,3218,51,12,rt_urate_hr_loo,7
-0.012688779063717851,0.018892075008190463,-0.04376347716157919,0.01838591903414349,-1.415738193334826,0.2,3167,51,12,rt_urate_hr_loo,8
-0.020378988601681056,0.017773054572277777,-0.049613061876898595,0.008855084673536486,-1.7558799493273534,0.201,3116,51,12,rt_urate_hr_loo,9
