state,date,urate,log_emp,d4_log_emp
AK,1976-01-01,7.066666666666666,,
AK,1976-04-01,7.033333333333334,,
AK,1976-07-01,7.666666666666667,,
AK,1976-10-01,8.6,,
AK,1977-01-01,9.299999999999999,,
AK,1977-04-01,9.766666666666667,,
AK,1977-07-01,9.933333333333334,,
AK,1977-10-01,10.299999999999999,,
AK,1978-01-01,10.9,,
AK,1978-04-01,10.9,,
AK,1978-07-01,10.566666666666666,,
AK,1978-10-01,10.066666666666668,,
AK,1979-01-01,9.4,,
AK,1979-04-01,8.933333333333334,,
AK,1979-07-01,8.966666666666667,,
AK,1979-10-01,8.9,,
AK,1980-01-01,8.966666666666667,,
AK,1980-04-01,9.766666666666667,,
AK,1980-07-01,9.933333333333334,,
AK,1980-10-01,9.5,,
AK,1981-01-01,8.933333333333334,,
AK,1981-04-01,8.866666666666667,,
AK,1981-07-01,9.366666666666667,,
AK,1981-10-01,9.700000000000001,,
AK,1982-01-01,9.833333333333334,,
AK,1982-04-01,9.9,,
AK,1982-07-01,9.933333333333334,,
AK,1982-10-01,10.4,,
AK,1983-01-01,10.533333333333333,,
AK,1983-04-01,10.033333333333333,,
AK,1983-07-01,9.833333333333334,,
AK,1983-10-01,10.1,,
AK,1984-01-01,10.2,,
AK,1984-04-01,10.0,,
AK,1984-07-01,9.766666666666667,,
AK,1984-10-01,9.633333333333333,,
AK,1985-01-01,9.6,,
AK,1985-04-01,9.833333333333334,,
AK,1985-07-01,9.866666666666667,,
AK,1985-10-01,9.9,,
AK,1986-01-01,10.6,,
AK,1986-04-01,11.233333333333334,,
AK,1986-07-01,11.266666666666666,,
AK,1986-10-01,11.0,,
AK,1987-01-01,10.766666666666666,,
AK,1987-04-01,10.333333333333334,,
AK,1987-07-01,9.966666666666667,,
AK,1987-10-01,9.533333333333333,,
AK,1988-01-01,9.200000000000001,,
AK,1988-04-01,8.966666666666667,,
AK,1988-07-01,8.700000000000001,,
AK,1988-10-01,8.266666666666667,,
AK,1989-01-01,7.433333333333334,,
AK,1989-04-01,6.933333333333334,,
AK,1989-07-01,7.0,,
AK,1989-10-01,7.166666666666667,,
AK,1990-01-01,7.2,5.4513245356732165,
AK,1990-04-01,7.2,5.4731106569212,
AK,1990-07-01,7.2,5.476742453062868,
AK,1990-10-01,7.3999999999999995,5.488110938180692,
AK,1991-01-01,7.733333333333333,5.4863172157266655,3.499268005344902
AK,1991-04-01,8.133333333333333,5.488110938180692,1.5000281259491821
AK,1991-07-01,8.466666666666667,5.4927870572776385,1.6044604214770608
AK,1991-10-01,8.9,5.500849963958122,1.2739025777429802
AK,1992-01-01,9.133333333333333,5.509658205743095,2.3340990016429863
AK,1992-04-01,9.066666666666666,5.509793112994564,2.1682174813872024
AK,1992-07-01,8.799999999999999,5.5093883366279774,1.6601279350338949
AK,1992-10-01,8.4,5.511006459958388,1.0156496000266024
AK,1993-01-01,8.0,5.522127362405407,1.2469156662311853
AK,1993-04-01,7.833333333333333,5.526382122181315,1.6589009186750658
AK,1993-07-01,7.733333333333333,5.532071096974262,2.2682760346284248
AK,1993-10-01,7.7,5.548427366092061,3.7420906133672993
AK,1994-01-01,7.8,5.555411357231794,3.3283994826386554
AK,1994-04-01,7.7,5.551278586271429,2.4896464090113923
AK,1994-07-01,7.5,5.560425187880387,2.8354090906125506
AK,1994-10-01,7.2,5.564009421108202,1.5582055016141183
AK,1995-01-01,7.099999999999999,5.564775802548191,0.9364445316396797
AK,1995-04-01,7.2,5.566179311550511,1.4900725279082039
AK,1995-07-01,7.3999999999999995,5.570505018041169,1.0079830160782066
AK,1995-10-01,7.566666666666666,5.570758889583533,0.6749468475330644
AK,1996-01-01,7.666666666666667,5.565414005390709,0.0638202842518254
AK,1996-04-01,7.5,5.574053367981417,0.7874056430906329
AK,1996-07-01,7.3,5.5782192516808555,0.7714233639686263
AK,1996-10-01,7.366666666666667,5.579729825986222,0.8970936402689311
AK,1997-01-01,7.3999999999999995,5.581740382079435,1.632637668872583
AK,1997-04-01,7.1000000000000005,5.592478405097527,1.8425037116109877
AK,1997-07-01,6.8999999999999995,5.597433816625481,1.9214564944625145
AK,1997-10-01,6.533333333333334,5.602364793086082,2.2634967099859793
AK,1998-01-01,6.233333333333333,5.612641369946239,3.0900987866804286
AK,1998-04-01,6.233333333333333,5.614222397943558,2.1743992846031013
AK,1998-07-01,6.400000000000001,5.615436874653435,1.800305802795421
AK,1998-10-01,6.400000000000001,5.623897162002826,2.1532368916743927
AK,1999-01-01,6.433333333333334,5.627741010579457,1.5099640633217781
AK,1999-04-01,6.466666666666666,5.6284600901885815,1.423769224502358
AK,1999-07-01,6.333333333333333,5.630972804642549,1.5535929989114017
AK,1999-10-01,6.166666666666667,5.640369246065341,1.6472084062515435
AK,2000-01-01,6.2,5.643678550586496,1.5937540007039175
AK,2000-04-01,6.333333333333333,5.6477998399052645,1.9339749716682952
AK,2000-07-01,6.366666666666667,5.650850411319434,1.9877606676884874
AK,2000-10-01,6.266666666666667,5.654242029096065,1.3872783030723923
AK,2001-01-01,6.133333333333333,5.6562248838893145,1.2546333302818624
AK,2001-04-01,6.099999999999999,5.66711849028461,1.9318650379345215
AK,2001-07-01,6.3,5.675268681757699,2.441827043826539
AK,2001-10-01,6.6000000000000005,5.670225691127358,1.59836620312932
AK,2002-01-01,6.866666666666667,5.6791481936978405,2.292330980852597
AK,2002-04-01,7.1000000000000005,5.6831261497305405,1.6007659445930855
AK,2002-07-01,7.266666666666667,5.687878902820988,1.2610221063289018
AK,2002-10-01,7.433333333333334,5.697764402330638,2.753871120328011
AK,2003-01-01,7.566666666666666,5.697093486505405,1.7945292807564073
AK,2003-04-01,7.733333333333333,5.699662889695206,1.653673996466587
AK,2003-07-01,7.766666666666667,5.70222570796795,1.4346805146962183
AK,2003-10-01,7.633333333333333,5.704004672190723,0.6240269860084524
AK,2004-01-01,7.599999999999999,5.70877001616724,1.1676529661835744
AK,2004-04-01,7.533333333333334,5.712191464237577,1.2528574542370663
