state,district,date,urate,emp100,d4_log_emp,bbui,bbui_innov
AK,San Francisco,1976-01-01,7.066666666666666,,,0.0501449366032699,0.9856551363242659
AK,San Francisco,1976-04-01,7.033333333333334,,,0.0203030303030303,-0.7933067871362083
AK,San Francisco,1976-07-01,7.666666666666667,,,0.0,-1.5167569137981147
AK,San Francisco,1976-10-01,8.6,,,0.0033333333333333,-0.7582800052857074
AK,San Francisco,1977-01-01,9.3,,,0.0448089492207139,1.3455678416454326
AK,San Francisco,1977-04-01,9.766666666666667,,,0.0,-1.48622023268202
AK,San Francisco,1977-07-01,9.933333333333334,,,0.0080309901738473,-0.7581117352973114
AK,San Francisco,1977-10-01,10.3,,,0.0190754664438874,0.04568850594918176
AK,San Francisco,1978-01-01,10.9,,,0.0133333333333333,-0.4790485641969125
AK,San Francisco,1978-04-01,10.9,,,0.0317337461300309,0.38829556193560705
AK,San Francisco,1978-07-01,10.566666666666666,,,0.0,-1.3660652206774258
AK,San Francisco,1978-10-01,10.066666666666668,,,0.0040650406504065,-0.8276206303910172
AK,San Francisco,1979-01-01,9.4,,,0.0071428571428571,-0.45778914453666775
AK,San Francisco,1979-04-01,8.933333333333334,,,0.0403293689584012,1.0339144954105348
AK,San Francisco,1979-07-01,8.966666666666667,,,0.0490173971881288,0.8828940678235212
AK,San Francisco,1979-10-01,8.9,,,0.045115629984051,0.2545782788338406
AK,San Francisco,1980-01-01,8.966666666666667,,,0.0219072372662798,-0.8654081910183204
AK,San Francisco,1980-04-01,9.766666666666667,,,0.0537342767295597,1.058939022910422
AK,San Francisco,1980-07-01,9.933333333333334,,,0.0417226036104754,0.18482137104935098
AK,San Francisco,1980-10-01,9.5,,,0.0257169287696577,-0.6723572702824503
AK,San Francisco,1981-01-01,8.933333333333334,,,0.0414017056097801,0.4417157072802816
AK,San Francisco,1981-04-01,8.866666666666667,,,0.0642937309603976,1.422939828724612
AK,San Francisco,1981-07-01,9.366666666666667,,,0.0937469937469937,2.3110622914935455
AK,San Francisco,1981-10-01,9.7,,,0.0455059646236116,-0.667911841484148
AK,San Francisco,1982-01-01,9.833333333333334,,,0.092845040637978,2.0948177122606713
AK,San Francisco,1982-04-01,9.9,,,0.063034188034188,0.3515387096237285
AK,San Francisco,1982-07-01,9.933333333333334,,,0.0795500771158665,1.1874659539327426
AK,San Francisco,1982-10-01,10.4,,,0.0876803751803751,1.578917215460025
AK,San Francisco,1983-01-01,10.533333333333331,,,0.0142857142857142,-2.1938350830202094
AK,San Francisco,1983-04-01,10.033333333333331,,,0.0192676767676767,-0.8450708367227737
AK,San Francisco,1983-07-01,9.833333333333334,,,0.0292328042328042,0.21709593476861966
AK,San Francisco,1983-10-01,10.1,,,0.0547619047619047,1.2249496472035795
AK,San Francisco,1984-01-01,10.2,,,0.0259740259740259,-0.6475833556066412
AK,San Francisco,1984-04-01,10.0,,,0.0605231026283657,1.2282450589916114
AK,San Francisco,1984-07-01,9.766666666666667,,,0.0665343915343915,1.2182163662043508
AK,San Francisco,1984-10-01,9.633333333333333,,,0.036502849002849,-0.6220897611510302
AK,San Francisco,1985-01-01,9.6,,,0.1159181096681096,3.5856531503940348
AK,San Francisco,1985-04-01,9.833333333333334,,,0.0539682539682539,-0.37044809838334203
AK,San Francisco,1985-07-01,9.866666666666667,,,0.040625,-0.7276816735353787
AK,San Francisco,1985-10-01,9.9,,,0.0383978766331707,-0.053603062789932425
AK,San Francisco,1986-01-01,10.6,,,0.0340277777777777,-0.10390772543424123
AK,San Francisco,1986-04-01,11.233333333333334,,,0.053030303030303,0.8908215329588143
AK,San Francisco,1986-07-01,11.266666666666666,,,0.0291666666666666,-0.5114376378100296
AK,San Francisco,1986-10-01,11.0,,,0.0238095238095238,-0.553793317802178
AK,San Francisco,1987-01-01,10.766666666666666,,,0.0478395061728395,0.8931345179754295
AK,San Francisco,1987-04-01,10.333333333333334,,,0.0467857142857142,0.5035547241322723
AK,San Francisco,1987-07-01,9.966666666666669,,,0.0169956140350877,-1.1152755156243783
AK,San Francisco,1987-10-01,9.533333333333331,,,0.0505263157894736,0.9705008556829579
AK,San Francisco,1988-01-01,9.2,,,0.0328719723183391,-0.1395646558031903
AK,San Francisco,1988-04-01,8.966666666666667,,,0.0131868131868131,-1.0961027976404505
AK,San Francisco,1988-07-01,8.700000000000001,,,0.0417261904761904,0.7402419017855447
AK,San Francisco,1988-10-01,8.266666666666667,,,0.0317460317460317,-0.01622863673042726
AK,San Francisco,1989-01-01,7.433333333333334,,,0.0154122193595877,-0.8918856595012788
AK,San Francisco,1989-04-01,6.933333333333334,,,0.0065359477124183,-0.959231082121637
AK,San Francisco,1989-07-01,7.0,,,0.0155996944232238,-0.23589347827084578
AK,San Francisco,1989-10-01,7.166666666666667,,,0.0035390199637023,-0.875120191598397
AK,San Francisco,1990-01-01,7.2,545.1324535673217,,0.014047619047619,-0.26300078778872304
AK,San Francisco,1990-04-01,7.2,547.31106569212,,0.0147792022792022,-0.2881145995413022
AK,San Francisco,1990-07-01,7.2,547.6742453062868,,0.0287972896668548,0.27107329949509174
AK,San Francisco,1990-10-01,7.4,548.8110938180693,,0.0196264640709085,-0.39828733416267764
AK,San Francisco,1991-01-01,7.733333333333333,548.6317215726666,3.499268005344902,0.0254830917874396,-0.09926337757594242
AK,San Francisco,1991-04-01,8.133333333333333,548.8110938180693,1.500028125949182,0.0178030303030303,-0.47562961368340634
AK,San Francisco,1991-07-01,8.466666666666667,549.2787057277638,1.6044604214770608,0.0222222222222222,-0.1947047257287118
AK,San Francisco,1991-10-01,8.9,550.0849963958121,1.2739025777429802,0.0594588636255302,1.5749718242311501
AK,San Francisco,1992-01-01,9.133333333333333,550.9658205743095,2.3340990016429863,0.0559523809523809,0.7662755242835074
AK,San Francisco,1992-04-01,9.066666666666666,550.9793112994564,2.1682174813872024,0.0652870617944147,0.92766607230869
AK,San Francisco,1992-07-01,8.799999999999999,550.9388336627977,1.6601279350338949,0.0821593915343915,1.6112959374046523
AK,San Francisco,1992-10-01,8.4,551.1006459958388,1.0156496000266024,0.0389278119541277,-0.8026151584933104
AK,San Francisco,1993-01-01,8.0,552.2127362405407,1.246915666231185,0.0876729961957234,2.06067618415259
AK,San Francisco,1993-04-01,7.833333333333333,552.6382122181315,1.6589009186750658,0.0935473785473785,1.9463554204412186
AK,San Francisco,1993-07-01,7.733333333333333,553.2071096974262,2.2682760346284248,0.0523614620673444,-0.551618898649542
AK,San Francisco,1993-10-01,7.7,554.8427366092061,3.7420906133672993,0.0386002886002886,-0.5942065746187272
