draw,beta
0,-0.01019132927312373
1,-0.01818422299379599
2,0.011284993038738377
3,-0.015688914053631597
4,0.019200509683848906
5,0.0037942549600891765
6,0.020860244032128373
7,-0.018647626243748047
8,-0.015038874105462409
9,0.002267097344176118
10,0.026279278124371166
11,-0.0034113620137438574
12,0.039584511401020275
13,0.001526366913987416
14,0.0009853910118136574
15,-0.012535833734523404
16,0.014978880386504597
17,-0.017737445610962934
18,-0.012173643363589821
19,0.011331444262009134
20,-0.006673996300004758
21,-0.008700015304387023
22,-0.00821328992497607
23,0.00657892771006881
24,-0.01806245343266519
25,0.00674965828520688
26,-0.01778333403700985
27,0.02923062985813679
28,0.0010116113121950978
29,0.008810781008377858
30,-0.0018339046489315937
31,0.0013607625861537759
32,-0.02651931401428449
33,0.022677483657421928
34,-0.030729938480006026
35,0.002635975639412086
36,-0.014979569973009524
37,-0.013664052949329488
38,0.04185931019263884
39,0.007527570328808417
40,0.013163950466151889
41,0.01316086436277313
42,0.00042193907510592113
43,-0.019040417515796184
44,-0.015201033879111083
45,-0.004291411711124587
46,0.006220550036257237
47,0.03298459779177541
48,0.0167296874887336
49,-0.021843048251936174
50,0.00729554124773445
51,-0.01183029466671713
52,-0.02014524329435104
53,-0.014291604337917537
54,0.008875466027818316
55,-0.004969163470420446
56,-0.012427776708508396
57,0.023967521812436776
58,0.028628606257781044
59,-0.013955866173696232
60,-0.022627676237463496
61,-0.01562603682171757
62,-0.030852420923136347
63,-0.012942176951489429
64,0.04065961995834921
65,-0.01641830180837244
66,0.012168373020930177
67,-0.000612059620180424
68,0.005260589290546071
69,-0.012353773732462645
70,0.0028534663027602056
71,-0.009459324515118427
72,-0.03287316054472944
73,-0.006580288648719776
74,-0.01725929958235162
75,-0.0380514108338102
76,-0.006850005799756849
77,0.003966690288790187
78,-0.03287878719303459
79,-0.012501095369840396
80,0.04052757778860218
81,0.03138639058405672
82,0.004450578287597386
83,0.041643050951733526
84,-0.02201456011934235
85,-0.001804594344178416
86,-0.01683894317124239
87,0.010265876318530822
88,0.042780008404423996
89,0.011616518507319644
90,-0.0005551410405724257
91,-0.02516005317980957
92,-0.004156767766728782
93,-0.015137645609729078
94,-0.00916624568584029
95,-0.004528748262545342
96,-0.007373237077918554
97,-0.017440384716029933
98,-0.008828661681570713
99,-0.010124183592733964
100,-0.0054332176761541714
101,0.02026326653781961
102,-0.02261385941748344
103,0.03001362984271544
104,-0.011423931488089878
105,0.002977953274493455
106,0.03567171976319021
107,0.0055824045114660145
108,0.007437068878797926
109,-0.012802380017016793
110,-0.020695404093133748
111,-0.01182807177340908
112,-0.0043181312360693475
113,-0.012542867256733339
114,-0.004323697778164463
115,0.00029196763078279743
116,-0.02254306817864385
117,0.012810024473890302
118,0.00495996141992707
119,0.007549659973557964
120,-0.012017038808547832
121,0.03689589514507062
122,-0.05495272532238454
123,-0.017321583363846326
124,0.004450841927537185
125,0.016199402827301843
126,0.0013003424642366616
127,-0.007122303747262335
128,0.023901296403660444
129,0.004380559172430293
130,0.027809984093645823
131,0.0045805033449617845
132,-0.00229185129989939
133,-0.017101389385946436
134,0.0037199666528733868
135,0.02500448356913374
136,0.011976601342434598
137,0.01089477982559437
138,0.009741962917407256
139,0.0011446039677423321
140,0.011771928618495913
141,-0.011356951847231848
142,0.017679756748247816
143,0.012007820759956874
144,0.0023432587976791627
145,0.0004643819053593049
146,0.010589043332248933
147,0.014139837049021324
148,-0.030868953301382725
149,0.011298845063888154
150,-0.005102794375732824
151,-0.008977631008561618
152,-0.021058088324799048
153,-0.017034748092959674
154,-0.000402738506945654
155,-0.02500781277233179
156,0.033819653833581764
157,-0.019298996703724765
158,0.020193181343154665
159,-0.031231819891891943
160,-0.016909043461593356
161,0.02387170859562416
162,-0.016760926508522987
163,-0.01820300259102684
164,0.025285325769457686
165,0.012120777692608165
166,0.0009499049194796106
167,0.0016180955245924777
168,0.005040833189225103
169,-0.008744200050356254
170,-0.004757922604709923
171,0.03780003650963515
172,-0.016089430729187514
173,-0.010163105939216226
174,0.03434696535970641
175,-0.020257441194038373
176,0.0052441826388756685
177,-0.013108157655103037
178,-0.017683279429417154
179,0.04281982771490305
180,0.006733265410051021
181,-0.008010380058718684
182,-0.029012074354900646
183,0.005672998688541778
184,-0.007763996765059477
185,-0.006129799991783473
186,0.050444063791447884
187,-0.018514217655223365
188,-0.010793646608395444
189,-0.03039514043043153
190,-0.03864450729750264
191,0.01032432944668277
192,0.02321584800916311
193,0.023189333049495293
194,0.023679574588022057
195,0.0158535066590572
196,-0.004218913909573132
197,-0.012512146678590132
198,-0.029342910837564556
199,-0.034282484370779895
