code,date,variable,value
AUS,1995-01-01,log_con_real,12.17115506062612
AUS,1995-04-01,log_con_real,12.189648504716004
AUS,1995-07-01,log_con_real,12.18689492294037
AUS,1995-10-01,log_con_real,12.202390876127549
AUS,1996-01-01,log_con_real,12.213946564706168
AUS,1996-04-01,log_con_real,12.215235537722009
AUS,1996-07-01,log_con_real,12.219196154346552
AUS,1996-10-01,log_con_real,12.222462593509775
AUS,1997-01-01,log_con_real,12.233541887519719
AUS,1997-04-01,log_con_real,12.249199182551312
AUS,1997-07-01,log_con_real,12.26625010856249
AUS,1997-10-01,log_con_real,12.278011839011258
AUS,1998-01-01,log_con_real,12.276908484375687
AUS,1998-04-01,log_con_real,12.293300249141142
AUS,1998-07-01,log_con_real,12.313962459813723
AUS,1998-10-01,log_con_real,12.324442175831612
AUS,1999-01-01,log_con_real,12.338801215979196
AUS,1999-04-01,log_con_real,12.347376876227903
AUS,1999-07-01,log_con_real,12.35387608129828
AUS,1999-10-01,log_con_real,12.367842794761962
AUS,2000-01-01,log_con_real,12.376241489674294
AUS,2000-04-01,log_con_real,12.381982021496233
AUS,2000-07-01,log_con_real,12.389393702657213
AUS,2000-10-01,log_con_real,12.393758952948204
AUS,2001-01-01,log_con_real,12.402362851551525
AUS,2001-04-01,log_con_real,12.411679320794164
AUS,2001-07-01,log_con_real,12.41497121717458
AUS,2001-10-01,log_con_real,12.421788681015586
AUS,2002-01-01,log_con_real,12.43250677694245
AUS,2002-04-01,log_con_real,12.446883212010142
AUS,2002-07-01,log_con_real,12.45765592655583
AUS,2002-10-01,log_con_real,12.462283400548579
AUS,2003-01-01,log_con_real,12.471739143924275
AUS,2003-04-01,log_con_real,12.478276800632202
AUS,2003-07-01,log_con_real,12.492145924567534
AUS,2003-10-01,log_con_real,12.512045173110124
AUS,2004-01-01,log_con_real,12.527166524752175
AUS,2004-04-01,log_con_real,12.53733490518913
AUS,2004-07-01,log_con_real,12.545864366561728
AUS,2004-10-01,log_con_real,12.557451087734572
AUS,2005-01-01,log_con_real,12.55623291498366
AUS,2005-04-01,log_con_real,12.573320004015606
AUS,2005-07-01,log_con_real,12.57674960215262
AUS,2005-10-01,log_con_real,12.583885599254675
AUS,2006-01-01,log_con_real,12.592650507253186
AUS,2006-04-01,log_con_real,12.60826573976792
AUS,2006-07-01,log_con_real,12.617960417439065
AUS,2006-10-01,log_con_real,12.629646136054346
AUS,2007-01-01,log_con_real,12.647348814373958
AUS,2007-04-01,log_con_real,12.65245254385294
AUS,2007-07-01,log_con_real,12.668869115484881
AUS,2007-10-01,log_con_real,12.680348386298581
AUS,2008-01-01,log_con_real,12.68717384333977
AUS,2008-04-01,log_con_real,12.684751039965745
AUS,2008-07-01,log_con_real,12.686632857464854
AUS,2008-10-01,log_con_real,12.688813560045496
AUS,2009-01-01,log_con_real,12.692315575664482
AUS,2009-04-01,log_con_real,12.70614768832827
AUS,2009-07-01,log_con_real,12.70891549154029
AUS,2009-10-01,log_con_real,12.719096850643982
AUS,2010-01-01,log_con_real,12.725369288685693
AUS,2010-04-01,log_con_real,12.739353258321946
AUS,2010-07-01,log_con_real,12.745666467830807
AUS,2010-10-01,log_con_real,12.757154984075928
AUS,2011-01-01,log_con_real,12.765628431665524
AUS,2011-04-01,log_con_real,12.773231342636326
AUS,2011-07-01,log_con_real,12.780641787002235
AUS,2011-10-01,log_con_real,12.78542383161119
AUS,2012-01-01,log_con_real,12.797342127267392
AUS,2012-04-01,log_con_real,12.803171373829738
AUS,2012-07-01,log_con_real,12.802271054527283
AUS,2012-10-01,log_con_real,12.803853644717735
AUS,2013-01-01,log_con_real,12.811639196197705
AUS,2013-04-01,log_con_real,12.814149291719106
AUS,2013-07-01,log_con_real,12.822182182020061
AUS,2013-10-01,log_con_real,12.828459321831884
AUS,2014-01-01,log_con_real,12.83125410547448
AUS,2014-04-01,log_con_real,12.83447595053544
AUS,2014-07-01,log_con_real,12.844050608956495
AUS,2014-10-01,log_con_real,12.850171378568414
AUS,2015-01-01,log_con_real,12.856967121091548
AUS,2015-04-01,log_con_real,12.863812831458795
AUS,2015-07-01,log_con_real,12.873701998103162
AUS,2015-10-01,log_con_real,12.879629176325114
AUS,2016-01-01,log_con_real,12.889649173150168
AUS,2016-04-01,log_con_real,12.89832692757486
AUS,2016-07-01,log_con_real,12.906791091586436
AUS,2016-10-01,log_con_real,12.911212624141795
AUS,2017-01-01,log_con_real,12.919162149510694
AUS,2017-04-01,log_con_real,12.926319295971837
AUS,2017-07-01,log_con_real,12.931207714546456
AUS,2017-10-01,log_con_real,12.942786849568634
AUS,2018-01-01,log_con_real,12.951209627860077
AUS,2018-04-01,log_con_real,12.956854098913443
AUS,2018-07-01,log_con_real,12.960575945003187
AUS,2018-10-01,log_con_real,12.9671004125507
AUS,2019-01-01,log_con_real,12.9726654360733
AUS,2019-04-01,log_con_real,12.98344837627316
AUS,2019-07-01,log_con_real,12.985220901229996
AUS,2019-10-01,log_con_real,12.99156880768966
AUS,2020-01-01,log_con_real,12.988644538641449
AUS,2020-04-01,log_con_real,12.900553935769915
AUS,2020-07-01,log_con_real,12.957094788703222
AUS,2020-10-01,log_con_real,12.991119651787395
AUS,2021-01-01,log_con_real,13.00189599210306
AUS,2021-04-01,log_con_real,13.014176649546307
AUS,2021-07-01,log_con_real,12.990661167946621
AUS,2021-10-01,log_con_real,13.03652440379029
AUS,2022-01-01,log_con_real,13.061464092871542
AUS,2022-04-01,log_con_real,13.073047074848366
AUS,2022-07-01,log_con_real,13.079768979771908
AUS,2022-10-01,log_con_real,13.088357682374882
AUS,2023-01-01,log_con_real,13.094369170544836
AUS,2023-04-01,log_con_real,13.099590021861305
AUS,2023-07-01,log_con_real,13.102191281863162
AUS,2023-10-01,log_con_real,13.103384410806527
AUS,2024-01-01,log_con_real,13.112799791755592
AUS,2024-04-01,log_con_real,13.114476356462507
AUS,2024-07-01,log_con_real,13.120393438347868
AUS,2024-10-01,log_con_real,13.126130273733555
AUS,2025-01-01,log_con_real,13.130537874972786
AUS,2025-04-01,log_con_real,13.14131073710264
AUS,2025-07-01,log_con_real,13.147545626200888
AUS,2025-10-01,log_con_real,13.15305163865422
AUS,2026-01-01,log_con_real,13.156063108715651
AUS,1995-01-01,log_gdp_real,12.558962936697036
AUS,1995-04-01,log_gdp_real,12.563715620775376
AUS,1995-07-01,log_gdp_real,12.586561767568162
AUS,1995-10-01,log_gdp_real,12.586401125821126
AUS,1996-01-01,log_gdp_real,12.601733178828908
AUS,1996-04-01,log_gdp_real,12.608115236837008
AUS,1996-07-01,log_gdp_real,12.616060842365922
AUS,1996-10-01,log_gdp_real,12.625558995000592
AUS,1997-01-01,log_gdp_real,12.63255859286133
AUS,1997-04-01,log_gdp_real,12.66195199510539
AUS,1997-07-01,log_gdp_real,12.66343419942684
AUS,1997-10-01,log_gdp_real,12.677768591998994
AUS,1998-01-01,log_gdp_real,12.68384291122181
AUS,1998-04-01,log_gdp_real,12.694259945209538
AUS,1998-07-01,log_gdp_real,12.712712521262809
AUS,1998-10-01,log_gdp_real,12.728087436435082
AUS,1999-01-01,log_gdp_real,12.735503120721612
AUS,1999-04-01,log_gdp_real,12.73927698738407
AUS,1999-07-01,log_gdp_real,12.75027308226937
AUS,1999-10-01,log_gdp_real,12.767144515720261
AUS,2000-01-01,log_gdp_real,12.771051171106285
AUS,2000-04-01,log_gdp_real,12.7807290400375
AUS,2000-07-01,log_gdp_real,12.78353115821362
AUS,2000-10-01,log_gdp_real,12.779585703228458
AUS,2001-01-01,log_gdp_real,12.788972388858898
AUS,2001-04-01,log_gdp_real,12.797699151021565
AUS,2001-07-01,log_gdp_real,12.809073540405002
AUS,2001-10-01,log_gdp_real,12.820933907691575
AUS,2002-01-01,log_gdp_real,12.82870079060712
AUS,2002-04-01,log_gdp_real,12.845771579881916
AUS,2002-07-01,log_gdp_real,12.84823700981504
